,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family
0,0,3,male,-0.8575111649413711,1,0,-1.05893823511296,S,Third,man,True,Southampton,no,False,1
1,1,1,female,0.6864051971488218,1,0,1.4318938820037672,C,First,woman,False,Cherbourg,yes,False,1
2,1,3,female,-0.38560465195745286,0,0,-0.9619264593562706,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.45409304356281976,1,0,1.1109743776269605,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.45409304356281976,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
5,0,3,male,-0.009837837889073225,0,0,-0.8909545692601645,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,1.6790594730496204,0,0,1.0852767001556516,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.27899303205504183,0,2,-0.5914955173483273,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-2.1343115741996135,1,0,0.4913098706867367,C,Second,child,False,Cherbourg,yes,False,1
11,1,1,female,1.880921945207971,0,0,0.35560708817197745,S,First,woman,False,Southampton,yes,True,0
12,0,3,male,-1.1267502840806507,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.7597826379718933,1,5,0.5340988855822495,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-2.1343115741996135,0,0,-0.971705897410643,S,Third,child,False,Southampton,no,True,0
15,1,2,female,1.7308934528210618,0,0,-0.19629443489639747,S,Second,woman,False,Southampton,yes,True,0
17,1,2,male,-0.009837837889073225,0,0,-0.4225724730325312,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.11126407917622454,1,0,-0.06793864714628411,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,-0.009837837889073225,0,0,-1.0627025381392528,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.45409304356281976,0,0,0.33279481642245184,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.3722069437800388,0,0,-0.4225724730325312,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.9394154992559647,0,0,-0.9476913249849847,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.17625906909495204,0,0,0.6721869303225285,S,First,man,True,Southampton,yes,True,0
25,1,3,female,0.6864051971488218,1,5,0.5380118687542358,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,-0.009837837889073225,0,0,-1.0627025381392528,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,-0.009837837889073225,0,0,-0.968242674077764,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,-0.009837837889073225,0,0,-0.9659491590548142,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.8313022210240106,0,0,0.4026340137327415,C,First,man,True,Cherbourg,no,True,0
31,1,1,female,-0.009837837889073225,1,0,2.217075103976706,C,First,woman,False,Cherbourg,yes,False,1
32,1,3,female,-0.009837837889073225,0,0,-0.9862603332214835,Q,Third,woman,False,Queenstown,yes,True,0
33,0,2,male,2.2459286300926347,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
34,0,1,male,-0.17625906909495204,1,0,1.5867907718524545,C,First,man,True,Cherbourg,no,False,1
35,0,1,male,0.9691282208343964,1,0,1.0881621058774344,S,First,man,True,Southampton,no,False,1
36,1,3,male,-0.009837837889073225,0,0,-1.0620692257971638,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,-0.9889242842702648,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
38,0,3,female,-1.4243803219843891,2,0,-0.06793864714628411,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,-2.1343115741996135,1,0,-0.5809362850372227,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,0.8313022210240106,1,0,-0.7672569722875087,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,-0.27899303205504183,1,0,0.10004931335395954,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,-0.009837837889073225,0,0,-0.9659491590548142,C,Third,man,True,Cherbourg,no,True,0
44,1,3,female,-1.2716473079558395,0,0,-0.968242674077764,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,-0.009837837889073225,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
46,0,3,male,-0.009837837889073225,1,0,-0.23089304376650097,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,-0.009837837889073225,2,0,0.13473743492905071,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,-1.4243803219843891,1,0,-0.08011491507866345,S,Third,woman,False,Southampton,no,False,1
51,0,3,male,-0.9889242842702648,0,0,-0.9792521763194391,S,Third,man,True,Southampton,no,True,0
52,1,1,female,1.4045842585485195,1,0,1.5121226400468473,C,First,woman,False,Cherbourg,yes,False,1
53,1,2,female,-0.07713055989668878,1,0,0.33279481642245184,S,Second,woman,False,Southampton,yes,False,1
54,0,1,male,2.2027999658049775,0,1,1.2794758753428266,C,First,man,True,Cherbourg,no,False,1
55,1,1,male,-0.009837837889073225,0,0,0.6721869303225285,S,First,man,True,Southampton,yes,True,0
56,1,2,female,-0.9889242842702648,0,0,-0.6553179761010235,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,-0.12626001802649223,0,0,-1.0620692257971638,C,Third,man,True,Cherbourg,no,True,0
59,0,3,male,-2.8155636700460325,5,2,0.9756700138852652,S,Third,child,False,Southampton,no,False,7
60,0,3,male,-0.8575111649413711,0,0,-1.0620692257971638,C,Third,man,True,Cherbourg,no,True,0
61,1,1,female,0.6864051971488218,0,0,1.5576140964480412,29.69911764705882,First,woman,False,29.69911764705882,yes,True,0
62,0,1,male,1.1640242957780427,1,0,1.603951489679259,S,First,man,True,Southampton,no,False,1
64,0,1,male,-0.009837837889073225,0,0,0.4026340137327415,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,-0.009837837889073225,1,1,-0.24891335772073808,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,-0.07713055989668878,0,0,-0.6553179761010235,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,-1.2716473079558395,0,0,-0.9303085792477002,S,Third,man,True,Southampton,no,True,0
68,1,3,female,-1.5858455613246225,4,2,-0.9619264593562706,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,-0.38560465195745286,2,0,-0.8649580629279608,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.20095010836623992,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
71,0,3,female,-1.7571023967384214,5,2,0.9756700138852652,S,Third,woman,False,Southampton,no,False,7
72,0,2,male,-0.9889242842702648,0,0,1.465266101911733,S,Second,man,True,Southampton,no,True,0
73,0,3,male,-0.38560465195745286,1,0,-0.30701854650736077,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.20095010836623992,0,0,1.1785282022019663,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,-0.49639817142288,0,0,-1.0004133197124396,S,Third,man,True,Southampton,no,True,0
79,1,3,female,0.018637005848696625,0,0,-0.46749553120721593,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,-0.8575111649413711,0,0,-0.8233059366012662,S,Third,man,True,Southampton,no,True,0
81,1,3,male,-0.07713055989668878,0,0,-0.7643853905401847,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,-0.009837837889073225,0,0,-0.9809999948858377,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,-0.17625906909495204,0,0,0.9803073172341259,S,First,man,True,Southampton,no,True,0
84,1,2,female,-1.5858455613246225,0,0,-0.6553179761010235,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.2878761249879749,3,0,-0.20655916990128861,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,-1.7571023967384214,1,3,0.6370930864325202,S,Third,man,True,Southampton,no,False,4
89,0,3,male,-0.6117151068090739,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
90,0,3,male,-0.07713055989668878,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
91,0,3,male,-1.1267502840806507,0,0,-0.971705897410643,S,Third,man,True,Southampton,no,True,0
92,0,1,male,1.2261119080011706,1,0,1.2652432924082981,S,First,man,True,Southampton,no,False,1
93,0,3,male,-0.38560465195745286,1,2,0.07776832203505167,S,Third,man,True,Southampton,no,False,3
94,0,3,male,1.9292115422824112,0,0,-1.05893823511296,S,Third,man,True,Southampton,no,True,0
97,1,1,male,-0.7319405971034905,0,1,1.303458403696465,C,First,man,True,Cherbourg,yes,False,1
98,1,2,female,0.3722069437800388,0,1,0.1991871407121371,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.3722069437800388,1,0,0.33279481642245184,S,Second,man,True,Southampton,no,False,1
100,0,3,female,-0.17625906909495204,0,0,-0.9659491590548142,S,Third,woman,False,Southampton,no,True,0
102,0,1,male,-0.9889242842702648,0,1,1.5200233191919157,S,First,man,True,Southampton,no,False,1
103,0,3,male,0.2878761249879749,0,0,-0.8660027246967489,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.6110707956386078,2,0,-0.9619264593562706,S,Third,man,True,Southampton,no,False,2
105,0,3,male,-0.17625906909495204,0,0,-0.9659491590548142,S,Third,man,True,Southampton,no,True,0
106,1,3,female,-0.9889242842702648,0,0,-1.0004133197124396,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,-0.009837837889073225,0,0,-0.9827506211941123,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,0.6864051971488218,0,0,-0.9659491590548142,S,Third,man,True,Southampton,no,True,0
109,1,3,female,-0.009837837889073225,1,0,0.2523569365280206,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,1.2868641986967546,0,0,1.0881621058774344,S,First,man,True,Southampton,no,True,0
111,0,3,female,-2.03518306500135,1,0,-0.30701854650736077,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,-0.8575111649413711,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
113,0,3,female,-1.1267502840806507,1,0,-0.7277274961065119,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,-1.5858455613246225,0,0,-0.3067094736105588,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,-0.9889242842702648,0,0,-0.9619264593562706,S,Third,man,True,Southampton,no,True,0
117,0,2,male,-0.07713055989668878,1,0,0.10004931335395954,S,Second,man,True,Southampton,no,False,1
120,0,2,male,-0.9889242842702648,2,0,1.465266101911733,S,Second,man,True,Southampton,no,False,2
122,0,2,male,0.24474746070031775,1,0,0.4913098706867367,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.24474746070031775,0,0,-0.4225724730325312,S,Second,woman,False,Southampton,yes,True,0
124,0,1,male,1.6790594730496204,0,1,1.5200233191919157,S,First,man,True,Southampton,no,False,1
125,1,3,male,-2.5697676119137354,1,0,-0.5809362850372227,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,-0.009837837889073225,0,0,-0.9862603332214835,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,-0.6117151068090739,0,0,-1.0753398747587533,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,-0.009837837889073225,1,1,0.16835050744858493,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,1.1640242957780427,0,0,-1.1010784979058432,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.2878761249879749,0,0,-0.9659491590548142,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,-1.1267502840806507,0,0,-1.0894231499845994,S,Third,man,True,Southampton,no,True,0
132,0,3,female,1.2868641986967546,1,0,-0.30357094565797726,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,-0.49639817142288,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
135,0,2,male,-0.7319405971034905,0,0,-0.2633038881422038,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,-1.2716473079558395,0,2,0.3446048339540432,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.6110707956386078,1,0,1.1109743776269605,S,First,man,True,Southampton,no,False,1
138,0,3,male,-1.7571023967384214,0,0,-0.7973777346709795,S,Third,man,True,Southampton,no,True,0
139,0,1,male,-0.6117151068090739,0,0,1.546661595789179,C,First,man,True,Cherbourg,no,True,0
140,0,3,female,-0.009837837889073225,0,2,-0.24891335772073808,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,-0.8575111649413711,0,0,-0.9862603332214835,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,-0.6117151068090739,1,0,-0.20655916990128861,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,-1.2716473079558395,0,0,-1.136811687453701,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,-1.4243803219843891,0,0,-0.5561801487428454,S,Second,man,True,Southampton,no,True,0
145,0,2,male,-1.2716473079558395,1,1,0.7098988124567505,S,Second,man,True,Southampton,no,False,2
146,1,3,male,-0.27899303205504183,0,0,-0.9798391307057922,S,Third,man,True,Southampton,yes,True,0
148,0,2,male,0.5726365614116458,0,2,0.33279481642245184,S,Second,man,True,Southampton,no,False,2
149,0,2,male,0.9691282208343964,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
150,0,2,male,1.517594233709386,0,0,-0.46313646682493875,S,Second,man,True,Southampton,no,True,0
151,1,1,female,-0.8575111649413711,1,0,1.3578362003915712,S,First,woman,False,Southampton,yes,False,1
152,0,3,male,1.7564580855679537,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
153,0,3,male,0.8663942578743044,0,2,-0.30357094565797726,S,Third,man,True,Southampton,no,False,2
154,0,3,male,-0.009837837889073225,0,0,-1.0495839747374003,S,Third,man,True,Southampton,no,True,0
155,0,1,male,1.517594233709386,0,1,1.2688748308776372,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,-1.7571023967384214,0,0,-0.9886111339665123,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.018637005848696625,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
158,0,3,male,-0.009837837889073225,0,0,-0.8649580629279608,S,Third,man,True,Southampton,no,True,0
159,0,3,male,-0.009837837889073225,8,2,1.4050680611811501,S,Third,man,True,Southampton,no,False,10
160,0,3,male,1.1005413401632875,0,1,-0.1895046020745276,S,Third,man,True,Southampton,no,False,1
161,1,2,female,0.8313022210240106,0,0,-0.21345643749847484,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,-0.38560465195745286,0,0,-0.9827506211941123,S,Third,man,True,Southampton,no,True,0
163,0,3,male,-1.5858455613246225,0,0,-0.8649580629279608,S,Third,man,True,Southampton,no,True,0
166,1,1,female,-0.009837837889073225,0,1,1.1492864234530296,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,1.1640242957780427,1,4,0.4096560810041224,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,-0.009837837889073225,0,0,0.3296467218618546,S,First,man,True,Southampton,no,True,0
169,0,3,male,-0.17625906909495204,0,0,1.1785282022019663,S,Third,man,True,Southampton,no,True,0
170,0,1,male,2.0233826837756923,0,0,0.6089944672169474,S,First,man,True,Southampton,no,True,0
174,0,1,male,1.7817934360097103,0,0,0.5137276765299204,C,First,man,True,Cherbourg,no,True,0
175,0,3,male,-1.4243803219843891,1,1,-0.971705897410643,S,Third,man,True,Southampton,no,False,2
176,0,3,male,-0.009837837889073225,3,1,0.31020963860067274,S,Third,man,True,Southampton,no,False,4
177,0,1,female,1.461654333681781,0,0,0.4409387331763018,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.018637005848696625,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
180,0,3,female,-0.009837837889073225,8,2,1.4050680611811501,S,Third,woman,False,Southampton,no,False,10
181,0,2,male,-0.009837837889073225,0,0,-0.2629997253335452,C,Second,man,True,Cherbourg,no,True,0
185,0,1,male,-0.009837837889073225,0,0,1.0454207594275322,S,First,man,True,Southampton,no,True,0
186,1,3,female,-0.009837837889073225,1,0,-0.23089304376650097,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,1.1640242957780427,0,0,0.35560708817197745,S,First,man,True,Southampton,yes,True,0
188,0,3,male,0.8313022210240106,1,1,-0.23089304376650097,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.5336721831202722,0,0,-0.9659491590548142,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.20095010836623992,0,0,-0.4225724730325312,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,-1.2716473079558395,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
192,1,3,female,-1.2716473079558395,1,0,-0.971705897410643,S,Third,woman,False,Southampton,yes,False,1
194,1,1,female,1.1005413401632875,0,0,0.4026340137327415,C,First,woman,False,Cherbourg,yes,True,0
195,1,1,female,1.880921945207971,0,0,2.217075103976706,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,0.9691282208343964,0,1,-0.8979471823894136,S,Third,man,True,Southampton,no,False,1
199,0,2,female,-0.6117151068090739,0,0,-0.4225724730325312,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,-0.17625906909495204,0,0,-0.7643853905401847,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.3722069437800388,0,0,-1.178644145697173,S,Third,man,True,Southampton,no,True,0
203,0,3,male,1.1952386756860174,0,0,-1.0627025381392528,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,-1.4243803219843891,0,0,-0.9448718915295101,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,0.20095010836623992,1,0,-0.20655916990128861,S,Third,man,True,Southampton,no,False,1
207,1,3,male,-0.38560465195745286,0,0,-0.02127492822239056,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,-1.7571023967384214,0,0,-0.9862603332214835,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,0.8313022210240106,0,0,0.5244742456884821,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,-0.6117151068090739,0,0,-1.0894231499845994,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.45409304356281976,0,0,0.10004931335395954,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,-0.8575111649413711,0,0,-1.05893823511296,S,Third,man,True,Southampton,no,True,0
214,0,3,male,-0.009837837889073225,1,0,-0.9862603332214835,Q,Third,man,True,Queenstown,no,False,1
215,1,1,female,0.11126407917622454,1,0,1.9366253639509328,C,First,woman,False,Cherbourg,yes,False,1
216,1,3,female,-0.27899303205504183,0,0,-0.9619264593562706,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,0.9691282208343964,1,0,0.37392289145626456,S,Second,man,True,Southampton,no,False,1
218,1,1,female,0.20095010836623992,0,0,1.5058911601610923,C,First,woman,False,Cherbourg,yes,True,0
219,0,2,male,0.018637005848696625,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
220,1,3,male,-1.7571023967384214,0,0,-0.9448718915295101,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,-0.27899303205504183,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
222,0,3,male,1.517594233709386,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
224,1,1,male,0.6864051971488218,1,0,1.6859698841981554,S,First,man,True,Southampton,yes,False,1
225,0,3,male,-0.8575111649413711,0,0,-0.7817294910025825,S,Third,man,True,Southampton,no,True,0
226,1,2,male,-1.2716473079558395,0,0,-0.6553179761010235,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,-1.0569967983907889,0,0,-1.05893823511296,S,Third,man,True,Southampton,no,True,0
228,0,2,male,-1.4243803219843891,0,0,-0.4225724730325312,S,Second,man,True,Southampton,no,True,0
229,0,3,female,-0.009837837889073225,3,1,0.31020963860067274,S,Third,woman,False,Southampton,no,False,4
230,1,1,female,0.45409304356281976,1,0,1.603951489679259,S,First,woman,False,Southampton,yes,False,1
231,0,3,male,-0.07713055989668878,0,0,-0.9827506211941123,S,Third,man,True,Southampton,no,True,0
232,0,2,male,1.9292115422824112,0,0,-0.3814443979987185,S,Second,man,True,Southampton,no,True,0
234,0,2,male,-0.6117151068090739,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
235,0,3,female,-0.009837837889073225,0,0,-1.0147525350486466,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,1.1005413401632875,1,0,0.33279481642245184,S,Second,man,True,Southampton,no,False,1
238,0,2,male,-1.2716473079558395,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.2878761249879749,0,0,-0.48510827244072147,S,Second,man,True,Southampton,no,True,0
240,0,3,female,-0.009837837889073225,1,0,-0.30701854650736077,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,-0.07713055989668878,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
243,0,3,male,-0.8575111649413711,0,0,-1.0778911413926195,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.018637005848696625,0,0,-1.0627025381392528,C,Third,man,True,Cherbourg,no,True,0
245,0,1,male,1.1005413401632875,2,0,1.6859698841981554,Q,First,man,True,Queenstown,no,False,2
246,0,3,female,-0.49639817142288,0,0,-0.9827506211941123,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,-0.6117151068090739,0,2,-0.30357094565797726,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.6110707956386078,1,1,1.0997150271610856,S,First,man,True,Southampton,yes,False,2
249,0,2,male,1.6790594730496204,1,0,0.33279481642245184,S,Second,man,True,Southampton,no,False,1
250,0,3,male,-0.009837837889073225,0,0,-1.05893823511296,S,Third,man,True,Southampton,no,True,0
251,0,3,female,-0.07713055989668878,1,1,-0.659216959303295,S,Third,woman,False,Southampton,no,False,2
252,0,1,male,2.069316584280887,0,0,0.35560708817197745,S,First,man,True,Southampton,no,True,0
253,0,3,male,0.018637005848696625,1,0,-0.1895046020745276,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.9010557067138735,0,2,0.05839718702726486,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,-0.07713055989668878,0,2,-0.24891335772073808,C,Third,woman,False,Cherbourg,yes,False,2
256,1,1,female,-0.009837837889073225,0,0,1.546661595789179,C,First,woman,False,Cherbourg,yes,True,0
257,1,1,female,0.018637005848696625,0,0,1.642744090244144,S,First,woman,False,Southampton,yes,True,0
259,1,2,female,1.461654333681781,0,1,0.33279481642245184,S,Second,woman,False,Southampton,yes,False,1
262,0,1,male,1.5724478531472084,1,1,1.5528359162295087,S,First,man,True,Southampton,no,False,2
264,0,3,female,-0.009837837889073225,0,0,-0.9862603332214835,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.5336721831202722,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
266,0,3,male,-1.7571023967384214,4,1,0.7936995895108158,S,Third,man,True,Southampton,no,False,5
267,1,3,male,-0.49639817142288,1,0,-0.9827506211941123,S,Third,man,True,Southampton,yes,False,1
268,1,1,female,1.880921945207971,0,1,2.2675190447236,S,First,woman,False,Southampton,yes,False,1
269,1,1,female,0.45409304356281976,0,0,2.132931676227453,S,First,woman,False,Southampton,yes,True,0
270,0,1,male,-0.009837837889073225,0,0,0.5244742456884821,S,First,man,True,Southampton,no,True,0
272,1,2,female,0.9010557067138735,0,1,0.019289065570016965,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.6110707956386078,0,1,0.4777885554817616,C,First,man,True,Cherbourg,no,False,1
275,1,1,female,2.1145155107637437,1,0,1.5294408837461568,S,First,woman,False,Southampton,yes,False,1
276,0,3,female,1.1640242957780427,0,0,-0.9862603332214835,S,Third,woman,False,Southampton,no,True,0
279,1,3,female,0.45409304356281976,1,1,0.060417140603830195,S,Third,woman,False,Southampton,yes,False,2
280,0,3,male,2.2027999658049775,0,0,-0.9862603332214835,Q,Third,man,True,Queenstown,no,True,0
